userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
464,sd0,fe0,be0,fs0,md1,wd0,DID01
465,sd0,fe0,be0,fs0,md1,wd0,DID01
466,sd0,fe0,be0,fs0,md1,wd0,DID02
467,sd0,fe0,be0,fs0,md1,wd0,DID01
468,sd0,fe0,be0,fs0,md1,wd0,DID01
469,sd0,fe0,be0,fs1,md0,wd0,DID01
470,sd0,fe0,be0,fs1,md0,wd0,DID02
471,sd0,fe0,be0,fs1,md0,wd0,DID02
472,sd0,fe0,be0,fs1,md0,wd0,DID02
473,sd0,fe0,be0,fs1,md0,wd0,DID01
474,sd0,fe0,be0,fs1,md0,wd0,DID02
475,sd0,fe0,be0,fs1,md0,wd0,DID02
476,sd0,fe0,be0,fs1,md0,wd0,DID01
477,sd1,fe0,be0,fs0,md0,wd0,DID02
478,sd1,fe0,be0,fs0,md0,wd0,DID01
479,sd1,fe0,be0,fs0,md0,wd0,DID02
480,sd1,fe0,be0,fs0,md0,wd0,DID01
481,sd1,fe0,be0,fs0,md0,wd0,DID02
482,sd1,fe0,be0,fs0,md0,wd0,DID02
483,sd1,fe0,be0,fs0,md0,wd0,DID01
484,sd1,fe0,be0,fs0,md0,wd0,DID02
485,sd1,fe0,be0,fs0,md0,wd0,DID02
486,sd1,fe0,be0,fs0,md0,wd0,DID02
487,sd1,fe1,be0,fs0,md0,wd0,DID02
488,sd1,fe1,be0,fs0,md0,wd0,DID02
